,sequence_names,true_vals,pred_vals,Fold
219,>CHR3:17847115-17847315,0.0237055622276594,-0.7009499,0
220,>CHR17:55105256-55105456,-0.554290713669061,-0.2727476,0
221,>CHR5:133071195-133071395,-0.915631300283249,-0.27132842,0
222,>CHR2:82316476-82316676,-0.631276969835045,-0.1996478,0
223,>CHR3:153224615-153224815,0.523627931011891,0.29466745,0
224,>CHR10:16507896-16508096,-0.771849841705496,0.49419388,0
225,>CHR11:108269236-108269436,-0.144065393829752,-0.42186987,0
226,>CHR12:30757335-30757535,0.667111302912508,-0.26127058,0
227,>CHR6:142238315-142238515,0.670695974682503,0.07528816,0
228,>CHR12:51306236-51306436,-0.260769526797208,-0.4998075,0
229,>CHR18:38447456-38447656,-0.537626610670486,-0.51366776,0
230,>CHR3:160913616-160913816,0.0605262558307946,0.29607955,0
231,>CHR5:141560645-141560845,-0.151113053362033,-0.17980188,0
232,>CHR12:122627036-122627236,-0.395061125094333,0.26930723,0
233,>CHR17:58686916-58687116,0.439230590624132,-0.23090182,0
234,>CHR19:15719056-15719256,0.0552334265617619,0.24670388,0
235,>CHR8:40206396-40206596,0.013010810441676,-0.25760144,0
236,>CHR19:7083095-7083295,-0.831633661335031,-0.32422826,0
237,>CHR12:118447855-118448055,-0.352149282294987,-0.1326219,0
238,>CHR2:176098775-176098975,-0.00639450372860923,-0.06688546,0
239,>CHR7:157726195-157726395,2.09330052879494,0.19188158,0
240,>CHR19:10172535-10172735,-0.0377407517985191,-0.075308636,0
241,>CHR6:147671955-147672155,-0.238103066848835,-0.4625307,0
242,>CHR8:42838396-42838596,-0.327329451669652,0.1292532,0
243,>CHR20:23909496-23909696,0.487326414153448,0.22408248,0
244,>CHR20:29462845-29463045,0.679065915812721,0.046775203,0
245,>CHR4:189117376-189117576,-0.0722396691404638,-0.20380838,0
246,>CHR10:62975996-62976196,-0.679375538882953,-0.34638712,0
247,>CHR8:127546556-127546756,-0.2572686157974,-0.1752678,0
248,>CHR12:75922385-75922585,-0.122975602320157,-0.30005187,0
249,>CHR8:135421896-135422096,-1.02210057835934,-0.49630418,0
250,>CHR1:39047095-39047295,-0.317155484082484,-0.2136556,0
251,>CHR20:55350016-55350216,0.919088307827505,-0.17125846,0
252,>CHR8:18608076-18608276,0.0838212155679774,-0.024276216,0
